select
from
where
insert
update
delete
into
values
set
and
or
not
null
is
as
then
elsif
else
when
declare
procedure
function
package
body
return
cursor
type
exception
raise
exit
while
for
in
commit
rollback
savepoint
grant
revoke
create
alter
drop
replace
table
view
index
trigger
sequence
union
all
distinct
group
by
having
order
asc
desc
between
like
exists
join
left
right
inner
outer
full
cross
on
using
connect
start
with
fetch
open
close
bulk
collect
forall
pragma
constant
default
out
nocopy
rownum
dual
true
false
